,symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
0,ETHBTC,0.00093000,1.626,0.05743930,0.05720000,0.05813000,0.01720000,0.05812000,11.98770000,0.05813000,22.94180000,0.05720000,0.05815000,0.05676000,18295.77290000,1050.89630919,1696952423645,1697038823645,423763103,423791293,28191
1,LTCBTC,-0.00001000,-0.435,0.00230688,0.00230100,0.00229000,4.71100000,0.00229000,17.30100000,0.00229200,260.15300000,0.00230000,0.00232600,0.00227800,30420.02200000,70.17529811,1696952422714,1697038822714,93751022,93758868,7847
2,BNBBTC,0.00009700,1.284,0.00760142,0.00755400,0.00765100,5.62500000,0.00765000,1.22400000,0.00765100,4.84900000,0.00755400,0.00766800,0.00754400,23926.56100000,181.87572862,1696952423244,1697038823244,227671988,227694860,22873
3,NEOBTC,-0.00000010,-0.040,0.00024687,0.00024790,0.00024770,29.02000000,0.00024770,58.79000000,0.00024800,34.54000000,0.00024780,0.00024870,0.00024540,19747.23000000,4.87492059,1696952408071,1697038808071,45554425,45555420,996
4,QTUMETH,-0.00004100,-3.004,0.00134850,0.00136000,0.00132400,1.00000000,0.00133200,48.10000000,0.00133700,13.60000000,0.00136500,0.00136500,0.00132400,1143.00000000,1.54133820,1696952410667,1697038810667,5403767,5403792,26
5,EOSETH,-0.00000120,-0.349,0.00034338,0.00034320,0.00034240,13.10000000,0.00034230,2559.30000000,0.00034310,1910.30000000,0.00034360,0.00034680,0.00034100,9993.50000000,3.43152999,1696952406982,1697038806982,23501863,23501933,71
6,SNTETH,-0.00000026,-1.745,0.00001474,0.00001486,0.00001464,7646.00000000,0.00001462,4385.00000000,0.00001472,475.00000000,0.00001490,0.00001516,0.00001460,439142.00000000,6.47485181,1696952394630,1697038794630,3916782,3916915,134
7,BNTETH,0.00002750,8.626,0.00034994,0.00031580,0.00034630,97.70000000,0.00034610,48.00000000,0.00034790,221.70000000,0.00031880,0.00037390,0.00031300,112442.70000000,39.34860605,1696952422415,1697038822415,2245793,2246469,677
8,BCCBTC,0.00000000,0.000,0.00000000,0.07908100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
9,GASBTC,-0.00000030,-0.357,0.00008398,0.00008430,0.00008380,30.60000000,0.00008360,1132.10000000,0.00008390,10.70000000,0.00008410,0.00008510,0.00008280,88149.60000000,7.40239514,1696952418966,1697038818966,20850920,20851798,879
10,BNBETH,-0.00050000,-0.379,0.13244562,0.13210000,0.13160000,4.00400000,0.13160000,8.40600000,0.13170000,8.21200000,0.13210000,0.13370000,0.13120000,9657.75700000,1279.12764180,1696952418857,1697038818857,56442993,56451095,8103
11,BTCUSDT,-560.79000000,-2.046,27183.00186773,27407.57000000,26846.78000000,0.00940000,26846.77000000,0.01386000,26846.78000000,9.67842000,27407.57000000,27511.96000000,26727.56000000,30968.69927000,841822210.09772320,1696952423566,1697038823566,3234900272,3236130756,1230485
12,ETHUSDT,-7.12000000,-0.454,1563.78683203,1567.64000000,1560.52000000,0.02360000,1560.51000000,0.01390000,1560.52000000,88.96360000,1567.64000000,1578.43000000,1544.26000000,253913.57720000,397066708.49891400,1696952423650,1697038823650,1207828536,1208417419,588884
13,HSRBTC,0.00000000,0.000,0.00000000,0.00041400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
14,OAXETH,0.00000000,0.000,0.00000000,0.00017780,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
15,DNTETH,0.00000000,0.000,0.00000000,0.00002801,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
16,MCOETH,0.00000000,0.000,0.00000000,0.00577200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
17,ICNETH,0.00000000,0.000,0.00000000,0.00166300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
18,MCOBTC,0.00000000,0.000,0.00000000,0.00021140,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
19,WTCBTC,-0.00000018,-3.523,0.00000512,0.00000510,0.00000493,188.00000000,0.00000492,293.00000000,0.00000494,2577.00000000,0.00000511,0.00000551,0.00000490,382588.00000000,1.95841833,1696952422268,1697038822268,20239831,20240643,813
20,WTCETH,0.00000000,0.000,0.00000000,0.00023700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
21,LRCBTC,0.00000000,0.000,0.00000615,0.00000617,0.00000616,239.00000000,0.00000615,12720.00000000,0.00000617,11518.00000000,0.00000616,0.00000619,0.00000609,270117.00000000,1.66206424,1696952412181,1697038812181,22125645,22125920,276
22,LRCETH,-0.00000222,-2.051,0.00010654,0.00010752,0.00010603,1844.00000000,0.00010584,605.00000000,0.00010638,3006.00000000,0.00010825,0.00010825,0.00010601,30861.00000000,3.28797477,1696952423341,1697038823341,4719842,4719876,35
23,QTUMBTC,-0.00000030,-0.386,0.00007756,0.00007810,0.00007740,279.60000000,0.00007750,30.30000000,0.00007760,361.20000000,0.00007770,0.00007810,0.00007680,3132.20000000,0.24292176,1696952422467,1697038822467,24087943,24088182,240
24,YOYOBTC,0.00000000,0.000,0.00000000,0.00000008,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
25,OMGBTC,0.00000000,0.000,0.00000000,0.00003080,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
26,OMGETH,0.00000000,0.000,0.00000000,0.00079100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
27,ZRXBTC,0.00000029,4.197,0.00000719,0.00000687,0.00000720,194.00000000,0.00000722,6984.00000000,0.00000723,234.00000000,0.00000691,0.00000749,0.00000685,268523.00000000,1.93144114,1696952422013,1697038822013,25426399,25427284,886
28,ZRXETH,0.00000000,0.000,0.00000000,0.00009940,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
29,STRATBTC,0.00000000,0.000,0.00000000,0.00003085,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
30,STRATETH,0.00000000,0.000,0.00000000,0.00105300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
31,SNGLSBTC,0.00000000,0.000,0.00000000,0.00000013,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
32,SNGLSETH,0.00000000,0.000,0.00000000,0.00005306,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
33,BQXBTC,0.00000000,0.000,0.00000000,0.00008703,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
34,BQXETH,0.00000000,0.000,0.00000000,0.00126350,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
35,KNCBTC,-0.00000001,-0.042,0.00002395,0.00002398,0.00002391,35.00000000,0.00002394,103.50000000,0.00002398,45.00000000,0.00002392,0.00002434,0.00002365,61863.90000000,1.48179623,1696952423565,1697038823565,20280247,20281184,938
36,KNCETH,0.00000000,0.000,0.00000000,0.00039410,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
37,FUNBTC,0.00000000,0.000,0.00000000,0.00000029,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
38,FUNETH,0.00000007,2.692,0.00000279,0.00000260,0.00000267,1123.00000000,0.00000264,249846.00000000,0.00000265,83676.00000000,0.00000260,0.00000303,0.00000259,10961105.00000000,30.53934794,1696952415648,1697038815648,3204036,3204525,490
39,SNMBTC,-0.00000069,-54.762,0.00000098,0.00000127,0.00000057,46703.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000126,0.00000147,0.00000055,26662465.00000000,26.13502488,1692586803266,1692673203266,14644423,14651718,7296
40,SNMETH,0.00000000,0.000,0.00000000,0.00004986,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
41,NEOETH,-0.00007000,-1.616,0.00430853,0.00433500,0.00426200,2.50000000,0.00426500,3.43000000,0.00427200,8.33000000,0.00433200,0.00435100,0.00425200,1266.29000000,5.45584766,1696952416158,1697038816158,11352413,11352739,327
42,IOTABTC,-0.00000018,-3.352,0.00000524,0.00000538,0.00000519,519.00000000,0.00000518,13463.00000000,0.00000519,201.00000000,0.00000537,0.00000538,0.00000515,525105.00000000,2.75386794,1696952418075,1697038818075,34358299,34359008,710
43,IOTAETH,-0.00000510,-5.420,0.00009115,0.00009360,0.00008900,292.00000000,0.00008910,4938.00000000,0.00008940,361.00000000,0.00009410,0.00009410,0.00008900,42118.00000000,3.83924490,1696952408596,1697038808596,7782852,7782984,133
44,LINKBTC,0.00000910,3.448,0.00026726,0.00026410,0.00027300,24.49000000,0.00027290,55.31000000,0.00027310,173.57000000,0.00026390,0.00027300,0.00026260,162617.48000000,43.46080708,1696952422322,1697038822322,89881490,89889727,8238
45,LINKETH,0.00008100,1.756,0.00464749,0.00461400,0.00469400,1.45000000,0.00469500,74.07000000,0.00469800,101.17000000,0.00461300,0.00469800,0.00459600,23369.88000000,108.61134076,1696952423057,1697038823057,20380439,20382475,2037
46,XVGBTC,0.00000000,0.000,0.00000000,0.00000015,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856595,1689658256595,-1,-1,0
