,symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
0,ETHBTC,-0.00148000,-2.705,0.05319481,0.05471000,0.05323000,9.68460000,0.05322000,22.75470000,0.05323000,47.82310000,0.05471000,0.05481000,0.05100000,118965.69510000,6328.35753344,1698065904555,1698152304555,424250014,424442906,192893
1,LTCBTC,-0.00011900,-5.497,0.00207894,0.00216500,0.00204600,28.61300000,0.00204500,26.27700000,0.00204600,48.65600000,0.00216500,0.00216600,0.00200800,117891.73000000,245.09011883,1698065904434,1698152304434,93862182,93887179,24998
2,BNBBTC,-0.00045400,-6.328,0.00683537,0.00717400,0.00672000,4.13700000,0.00671900,4.78100000,0.00672000,23.76300000,0.00717400,0.00717600,0.00660000,80120.57800000,547.65350749,1698065902001,1698152302001,228008378,228081039,72662
3,NEOBTC,-0.00001630,-6.689,0.00022959,0.00024400,0.00022740,15.31000000,0.00022740,31.52000000,0.00022760,5.55000000,0.00024370,0.00024780,0.00022040,111980.10000000,25.70937556,1698065904137,1698152304137,45570685,45577322,6638
4,QTUMETH,-0.00005900,-4.173,0.00139148,0.00141500,0.00135500,1.60000000,0.00135300,415.80000000,0.00135900,17.00000000,0.00141400,0.00142600,0.00132900,2510.30000000,3.49303840,1698065881640,1698152281640,5404230,5404326,97
5,EOSETH,-0.00000850,-2.524,0.00033154,0.00033750,0.00032830,332.10000000,0.00032730,333.20000000,0.00032810,672.50000000,0.00033680,0.00033930,0.00032130,76743.81000000,25.44350022,1698065901483,1698152301483,23504025,23504580,556
6,SNTETH,-0.00000095,-5.937,0.00001561,0.00001583,0.00001505,190.00000000,0.00001527,5326.00000000,0.00001538,14879.00000000,0.00001600,0.00001633,0.00001482,885627.00000000,13.82791819,1698065885010,1698152285010,3919826,3920065,240
7,BNTETH,0.00000660,2.012,0.00033565,0.00032950,0.00033460,452.60000000,0.00033460,319.90000000,0.00033720,2693.60000000,0.00032800,0.00034700,0.00032110,78334.90000000,26.29339813,1698065903496,1698152303496,2257521,2257900,380
8,BCCBTC,0.00000000,0.000,0.00000000,0.07908100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969714,1689657369714,-1,-1,0
9,GASBTC,-0.00001300,-12.897,0.00008465,0.00010070,0.00008780,29.60000000,0.00008770,14.50000000,0.00008810,20.00000000,0.00010080,0.00010130,0.00007370,652934.60000000,55.27053300,1698065904293,1698152304293,20884848,20905334,20487
10,BNBETH,-0.00510000,-3.887,0.12814195,0.13110000,0.12610000,0.08300000,0.12610000,11.54500000,0.12630000,41.69500000,0.13120000,0.13130000,0.12530000,25923.81700000,3321.92857460,1698065901059,1698152301059,56541655,56557347,15693
11,BTCUSDT,3941.10000000,12.861,33192.95293057,30644.62000000,34585.73000000,0.67449000,34585.72000000,4.31248000,34585.73000000,4.10617000,30644.63000000,35280.00000000,30395.01000000,132476.84133000,4397297558.65774370,1698065904535,1698152304535,3251335091,3254861043,3525953
12,ETHUSDT,164.56000000,9.817,1773.16678567,1676.20000000,1840.76000000,0.00600000,1840.75000000,23.64220000,1840.76000000,27.39770000,1676.20000000,1854.38000000,1663.44000000,791094.94820000,1402743286.46242700,1698065904554,1698152304554,1214527448,1216027648,1500201
13,HSRBTC,0.00000000,0.000,0.00000000,0.00041400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969714,1689657369714,-1,-1,0
14,OAXETH,0.00000000,0.000,0.00000000,0.00017780,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969714,1689657369714,-1,-1,0
15,DNTETH,0.00000000,0.000,0.00000000,0.00002801,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969714,1689657369714,-1,-1,0
16,MCOETH,0.00000000,0.000,0.00000000,0.00577200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969714,1689657369714,-1,-1,0
17,ICNETH,0.00000000,0.000,0.00000000,0.00166300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969714,1689657369714,-1,-1,0
18,MCOBTC,0.00000000,0.000,0.00000000,0.00021140,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969714,1689657369714,-1,-1,0
19,WTCBTC,-0.00000036,-7.287,0.00000466,0.00000490,0.00000458,48.00000000,0.00000457,2321.00000000,0.00000462,1637.00000000,0.00000494,0.00000494,0.00000442,343704.00000000,1.60156825,1698065904211,1698152304211,20248099,20248774,676
20,WTCETH,0.00000000,0.000,0.00000000,0.00023700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969714,1689657369714,-1,-1,0
21,LRCBTC,0.00000003,0.529,0.00000549,0.00000568,0.00000570,57.00000000,0.00000570,3300.00000000,0.00000572,2720.00000000,0.00000567,0.00000573,0.00000528,1047305.00000000,5.75414474,1698065898115,1698152298115,22129570,22131120,1551
22,LRCETH,0.00000424,4.095,0.00010411,0.00010415,0.00010779,35.00000000,0.00010691,4965.00000000,0.00010754,2660.00000000,0.00010355,0.00010779,0.00010074,303393.00000000,31.58730946,1698065880419,1698152280419,4720779,4721066,288
23,QTUMBTC,-0.00000540,-6.977,0.00007317,0.00007750,0.00007200,1.40000000,0.00007200,125.50000000,0.00007230,135.50000000,0.00007740,0.00007770,0.00007060,31141.80000000,2.27871392,1698065904463,1698152304463,24092602,24094360,1759
24,YOYOBTC,0.00000000,0.000,0.00000000,0.00000008,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969714,1689657369714,-1,-1,0
25,OMGBTC,0.00000000,0.000,0.00000000,0.00003080,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969714,1689657369714,-1,-1,0
26,OMGETH,0.00000000,0.000,0.00000000,0.00079100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969714,1689657369714,-1,-1,0
27,ZRXBTC,-0.00000019,-2.665,0.00000691,0.00000714,0.00000694,100.00000000,0.00000694,486.00000000,0.00000696,1439.00000000,0.00000713,0.00000714,0.00000665,731826.00000000,5.05683083,1698065901714,1698152301714,25451319,25454512,3194
28,ZRXETH,0.00000000,0.000,0.00000000,0.00009940,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969714,1689657369714,-1,-1,0
29,STRATBTC,0.00000000,0.000,0.00000000,0.00003085,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969714,1689657369714,-1,-1,0
30,STRATETH,0.00000000,0.000,0.00000000,0.00105300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969714,1689657369714,-1,-1,0
31,SNGLSBTC,0.00000000,0.000,0.00000000,0.00000013,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969714,1689657369714,-1,-1,0
32,SNGLSETH,0.00000000,0.000,0.00000000,0.00005306,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969714,1689657369714,-1,-1,0
33,BQXBTC,0.00000000,0.000,0.00000000,0.00008703,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969714,1689657369714,-1,-1,0
34,BQXETH,0.00000000,0.000,0.00000000,0.00126350,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969714,1689657369714,-1,-1,0
35,KNCBTC,0.00000007,0.323,0.00002125,0.00002176,0.00002177,13.20000000,0.00002159,849.20000000,0.00002162,318.90000000,0.00002170,0.00002198,0.00002022,422356.10000000,8.97297309,1698065904056,1698152304056,20295217,20297914,2698
36,KNCETH,0.00000000,0.000,0.00000000,0.00039410,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969714,1689657369714,-1,-1,0
